首相	prime minister
検討	examination
重視	Emphasis
姿勢	posture
印象	impression
狙い	the aim
普及	Spread
源	source
徹底	Thoroughness
義務	duty
表向き	face up
装う	pretend
混乱	confusion
模様	pattern
講義	lecture
維持	maintain
意地	stubbornness
証人	witness
承認	approval
該当	Applicable
街頭	Street
有効	Effectiveness
友好	friendship
携帯	Mobile phone
形態	form
収穫	harvest
影響	influence
与える	give
相次ぐ	successive
再発	recurrence
防止	prevention
強調	Emphasis
説く	preach
周囲	surroundings
劣らず	no less
方策	measures
進行	progression
支店	branch
収支	Income and expenditure
経緯	background
譲歩	concession
争い	strife
泥沼	quagmire
様相	phase
故障	malfunction
廃棄物	waste
悪癖	bad habit
解消	Dissolution
根底	foundation
気配	sign
漂い	drift
草花	flowers
名残	remnants
惜しむ	regret
講義	lecture
抗議	protest
負債	liabilities
夫妻	husband and wife
再三	repeatedly
採算	profitability
意地	stubbornness
維持	maintain
結晶	crystal
決勝	final
均衡	equilibrium
近郊	Suburbs
彫刻	sculpture
鮮やかな	Brilliant
色彩	color
誇る	boast
朽ち果てる	rot away
万能	versatile
迷信	superstition
無条件	unconditional
信仰	faith
告げる	tell
同様	similar
一切	nothing at all
一歳	One year old
被害者	victim
速やかな	Prompt
救助	rescue
値する	deserve
互いに	each other
束縛	bondage
干渉	interference
共鳴	resonance
前途	future
有望な	hopeful
視野	field of view
充実	fullness
縮小	Shrink
介護	nursing
負担	load
一切	nothing at all
一歳	One year old
態勢	Posture
体制	System
思考	thinking
志向	intention
申告	report
官僚	Officials
完了	completion
正規	regular
世紀	century
栄養	nutrition
偏り	bias
欠乏	deficiency
症状	symptoms
改善	improvement
伝統的な	traditional
枠	frame
物事	things
志して	aspire to
技	skill
磨いて	Polish
存続	survival
支え	support
賢明な	wise
込めて	with
軽快	nimble
警戒	vigilance
繁栄	prosperity
反映	reflect
操作	operation
捜査	investigation
勘定	Account
感情	emotions
清掃	cleaning
滅んで	Perish
嘆く	lament
悲惨な	Miserable
避ける	avoid
巡り	tour
妥協	compromise
辛抱	patience
修行	training
澄み	Clear
遮る	block
浜辺	beach
貝殻	shell
駆けて	running
人材	human resources
募って	Wanted
後悔	regret
航海	sailing
酸化	oxidation
参加	Participation
脂肪	fat
志望	Aspiration
河川	river
下線	Underline
緩和	relief
漢和	Kanwa
隣	next
花壇	flower bed
頑丈	Sturdy
垣根	fence
副詞	adverb
保障	security
補償	compensation
賢明	wise
懸命	work hard
閉鎖	close
至った	Arrived
経緯	background
詳しく	in detail
監督	directed by
盛大	big
祝賀会	celebration
催された	was held
戯曲	play
芝居	play
舞台	stage
対照的	Contrast
描く	draw
一断面	one section
要請	request
要点	main point
保護	protection
優先的	preferential
優勝	win
放射	radiation
放送	broadcast
標語	slogan
標本	specimen
事態	situation
軽率	thoughtlessness
避ける	avoid
相互	Mutual
取り除く	remove
偽造	forgery
損なう	undermine
犯罪	crime
厳しく	severely
処罰	punishment
定義	definition
倫理的	ethical
微妙	subtle
絡んで	involved
一概	Overall
講義	lecture
施行	enforcement
豊作	good harvest
振興	Promotion
視点	perspective
終始	from beginning to end
抗議	protest
思考	thinking
合間	interval
夕闇	dusk
迫る	approach
街角	street corner
不在	absence
夫妻	husband and wife
風習	customs
封鎖	blockade
交渉	negotiation
高尚	lofty
児童	child
自動	automatic
生涯	lifetime
障害	hindrance
要請	request
養成	training
緩和	relief
漢和	Kanwa
手軽に	easily
依然として	still
新たな	New
模索	Groping
兼ねる	concurrently
審査	examination
厳しい	Strict
応募	Application
崩れ始める	begin to crumble
自ら	oneself
腐敗	corruption
省みる	reflect on
雇用	employment
格差	disparity
是正	correction
緩和	relief
歓声	Cheers
完成	Complete
